收容所編號,名稱,縣市,鄉鎮,村里,門牌地址,類型,水災,震災,土石流,海嘯,救濟支站,無障礙設施,室內,室外,服務里別,容納人數,收容所面積（平方公尺）,聯絡人姓名,聯絡人連絡電話,管理人姓名,管理人連絡電話,備考,完整地址,longitude,latitude
126,及人中學,新北市,新店區,柴埕里,新北市新店區安興路1號,,是,是,是,否,否,,,,柴埕里、安和里,2749.2,21654.0,總務主任張慧如,958677599.0,,,,65000新店區柴埕里新北市新店區安興路1號,121.513557,24.96796
127,安康高中,新北市,新店區,柴埕里,新北市新店區安興路25號,,是,是,是,否,否,,,,下城里、柴埕里、永安里、安和里、新和里、永平里、公崙里、德安里,730.8,3993.0,總務主任蔡易仲,932012173.0,,,,65000新店區柴埕里新北市新店區安興路25號,121.515384,24.97001
128,耕莘健康管理專科學校,新北市,新店區,百和里,新北市新店區民族路112號,,是,是,是,否,否,,,,江陵里、中華里、仁愛里、百忍里、百和里、福德里、百福里、中央里、建國里,87.1,348.6,許朝昇,922679975.0,,,,65000新店區百和里新北市新店區民族路112號,121.53548,24.976146
129,景文科技大學,新北市,新店區,公崙里,新北市新店區安忠路99號,,是,是,是,否,否,,,,公崙里、安昌里、柴埕里,1855.8,14323.26,總務長黃幸玲,,,,,65000新店區公崙里新北市新店區安忠路99號,121.508976,24.950661
130,南強工商,新北市,新店區,寶興里,新北市新店區文化路42號,,是,是,是,否,否,,,,寶興里、寶安里、信義里、新安里、寶福里,715.0,3918.0,總務主任蕭傳元,939086994.0,,,,65000新店區寶興里新北市新店區文化路42號,121.545206,24.981195
131,能仁家商,新北市,新店區,文中里,新北市新店區文中路53巷10號,,是,是,是,否,否,,,,張南里、廣明里、文明里,820.1,4661.0,校長洪志旻,918451541.0,,,,65000新店區文中里新北市新店區文中路53巷10號,121.540431,24.956918
132,莊敬高職,新北市,新店區,復興里,新北市新店區民生路45號,,是,是,是,否,否,,,,江陵里、寶安里、忠孝里、大鵬里、中山里、和平里、復興里,55.0,220.0,校長林淑貴,912881228.0,,,,65000新店區復興里新北市新店區民生路45號,121.532237,24.985754
133,中正國小,新北市,新店區,中正里,新北市新店區三民路36號,,是,是,是,否,否,,,,國豐里、明德里、新生里、新德里、忠誠里　,788.0,6034.5,事務組長楊郁文,975606917.0,,,,65000新店區中正里新北市新店區三民路36號,121.536639,24.971738
134,北新國小,新北市,新店區,新安里,新北市新店區寶橋路8號,,是,是,是,否,否,,,,大豐里、大同里、張北里、五峯里、忠誠里　,1111.0,6891.0,總務主任洪珮華,936496576.0,,,,65000新店區新安里新北市新店區寶橋路8號,121.543895,24.973708
135,大豐國小,新北市,新店區,大豐里,新北市新店區民族路108號,,是,是,是,否,否,,,,國豐里、明德里、大豐里、大同里、寶興里、信義里、忠孝里、大鵬里、百和里、建國里、復興里,3416.0,21164.0,何文雀,952999254.0,,,,65000新店區大豐里新北市新店區民族路108號,121.538192,24.977579
136,安坑國小,新北市,新店區,公崙里,新北市新店區安忠路36號 ,,是,是,是,否,否,,,,下城里、公崙里、德安里、日興里、玫瑰里、明城里、小城里、香坡里、安昌里、達觀里,618.2,4073.0,總務主任張晏山,929007568.0,,,,65000新店區公崙里新北市新店區安忠路36號 ,121.514157,24.961301
137,屈尺國小,新北市,新店區,屈尺里,新北市新店區屈尺路55號,,是,是,是,否,否,,,,粗坑里、屈尺里、龜山里、廣興里　,588.2,4353.0,校長林錫恩,928365192.0,,,,65000新店區屈尺里新北市新店區屈尺路55號,121.546149,24.922512
138,屈尺國小廣興分校,新北市,新店區,廣興里,新北市新店區廣興路57號,,是,是,是,否,否,,,,廣興里,37.5,150.0,分校主任莊淑萍,917224106.0,,,,65000新店區廣興里新北市新店區廣興路57號,121.539626,24.912533
139,新和國小,新北市,新店區,永安里,新北市新店區安和路3段100號,,是,是,是,否,否,,,,永安里、新和里、永平里,570.0,4246.0,總務主任王郁琳,981685252.0,,,,65000新店區永安里新北市新店區安和路3段100號,121.516634,24.963929
140,新店國小,新北市,新店區,國校里,新北市新店區新店路2號,,是,是,是,否,否,,,,新店里、國校里,1381.3,7879.0,總務主任林明瑜,911842382.0,,,,65000新店區國校里新北市新店區新店路2號,121.540227,24.95291
141,直潭國小,新北市,新店區,直潭里,新北市新店區直潭路92號,,是,是,是,否,否,,,,太平里、塗潭里、粗坑里、直潭里、青潭里、美城里、華城里,102.5,660.0,校長吳瑞文,988539098.0,,,,65000新店區直潭里新北市新店區直潭路92號,121.530824,24.937857
142,雙城國小,新北市,新店區,雙城里,新北市新店區安康路3段322號,,是,是,是,否,是,,,,雙城里、日興里、玫瑰里、明城里、吉祥里、小城里、香坡里、長春里、達觀里,367.5,2220.0,總務主任陳致銘,933852134.0,,,,65000新店區雙城里新北市新店區安康路3段322號,121.533914,24.960163
143,雙峰國小,新北市,新店區,雙坑里,新北市新店區北宜路3段66號,,是,是,是,否,否,,,,美潭里、員潭里、雙坑里,286.4,1941.0,總務主任王昭權,988189738.0,,,,65000新店區雙坑里新北市新店區北宜路3段66號,121.547714,24.952065
144,龜山國小,新北市,新店區,龜山里,新北市新店區新烏路3段99巷10號,,是,是,是,否,否,,,,龜山里,28.3,180.0,總務主任戴彰佑,926617239.0,,,,65000新店區龜山里新北市新店區新烏路3段99巷10號,121.547415,24.916761
145,五峰國中,新北市,新店區,五峯里,新北市新店區中興路1段253號,,是,是,是,否,否,,,,中興里、新德里、張北里、五峯里、長春里,667.5,4840.0,總務主任曹常昱,919394823.0,,,,65000新店區五峯里新北市新店區中興路1段253號,121.54384,24.965664
146,文山國中,新北市,新店區,文中里,新北市新店區文中路38號,,是,是,是,否,否,,,,新店里、張南里、國校里、文中里、廣明里、文明里、太平里、頂城里、美城里,772.3,5317.0,吳欣倫,919271145.0,,,,65000新店區文中里新北市新店區文中路38號,121.538812,24.956748
147,直潭派出所,新北市,新店區,塗潭里,新北市新店區直潭十街27號,,是,是,是,否,否,,,,直潭里、青潭里、塗潭里,75.0,400.0,陳秋元,,,,,65000新店區塗潭里新北市新店區直潭十街27號,121.535517,24.941806
148,廣興里辦公處,新北市,新店區,廣興里,新北市新店區平廣路1段35巷3號,,否,是,否,否,否,,,,廣興里,37.5,150.0,吳進興,955777705.0,,,,65000新店區廣興里新北市新店區平廣路1段35巷3號,121.53711,24.908273
149,達觀國中小,新北市,新店區,德安里,新北市新店區僑信路1號,,是,否,是,否,否,,,,德安里、雙城里、玫瑰里、明城里、吉祥里、小城里、達觀里、日興里、安昌里,392.2,3018.0,總務主任陳玟君,937836246.0,,,,65000新店區德安里新北市新店區僑信路1號,121.50003,24.95388
150,太平防災公園,新北市,新店區,太平里,新北市新店區精忠路10-1號旁,,是,是,是,否,否,,,,太平里、美城里、頂城里、下城里、柴埕里、安和里、永安里、新和里、永平里、公崙里、安昌里、德安里、達觀里、明城里、小城里、雙城里、香坡里、日興里、玫瑰里、吉祥里、塗潭里、華城里、青潭里、員潭里、雙坑里、粗坑里、美潭里、屈尺里、龜山里、廣興里、直潭里,1875.0,15000.0,謝麗玉,920080487.0,,,,65000新店區太平里新北市新店區精忠路10-1號旁,121.532859,24.95915
151,十四張歷史公園,新北市,新店區,中山里,新北市新店區央北二路及啟文路交叉路口,,是,是,是,是,否,,,,新店里、張南里、國校里、文中里、新德里、廣明里、文明里、中興里、新生里、張北里、五峯里、長春里、新安里、忠誠里、中正里、中華里、仁愛里、建國里、百忍里、百和里、福德里、百福里、福民里、中山里、和平里、中央里、國豐里、明德里、大豐里、大同里、江陵里、復興里、寶興里、寶福里、寶安里、信義里、忠孝里、大鵬里,502.0,4016.0,謝麗玉,920080487.0,,,,65000新店區中山里新北市新店區央北二路及啟文路交叉路口,121.526787,24.979746
152,柴埕市民活動中心,新北市,新店區,柴埕里,新北市新店區安民街79號,,是,是,是,是,否,,,,柴埕里、安和里、下城里、公崙里、安昌里、德安里,360.625,1774.0,張金富,937014321.0,,,,65000新店區柴埕里新北市新店區安民街79號,121.51657,24.967379
153,日興市民活動中心,新北市,新店區,日興里,新北市新店區安康路3段580號,,是,是,是,是,否,,,,日興里、香坡里、雙城里、德安里、玫瑰里、吉祥里,112.125,516.0,張金富,937014321.0,,,,65000新店區日興里新北市新店區安康路3段580號,121.533914,24.960163
154,福壽市民活動中心,新北市,新莊區,信義里,新北市新莊區昌明街1號,,是,是,是,是,是,,,,和平里、幸福里、頭前里、福基里、昌明里、昌平里、化成里、信義里、仁義里、仁愛里、思賢里、思源里、自強里、自立里、自信里、福興里、昌隆里、昌信里,120.0,480.0,邱雋弘,958496393.0,,,,65000新莊區信義里新北市新莊區昌明街1號,121.457633,25.052214
155,新泰市民活動中心,新北市,新莊區,忠孝里,新北市新莊區建中街116巷3弄2號,,是,是,是,是,是,,,,立德里、立言里、海山里、全安里、榮和里、興漢里、文德里、文明里、文聖里、文衡里、全泰里、忠孝里,250.0,1000.0,邱雋弘,958496393.0,,,,65000新莊區忠孝里新北市新莊區建中街116巷3弄2號,121.445586,25.036864
156,四維市民活動中心,新北市,新莊區,南港里,新北市新莊區四維路186巷2號,,是,是,是,是,是,,,,南港里、瓊林里、四維里、民本里、萬安里、營盤里、民安里、光華里、光明里、光正里、光和里、八德里、西盛里、丹鳳里、雙鳳里、和鳳里、富國里、國泰里、豐年里、福營里、龍鳳里、裕民里、祥鳳里、富民里、泰豐里、龍福里、成德里、民有里、龍安里,300.0,1200.0,邱雋弘,958496393.0,,,,65000新莊區南港里新北市新莊區四維路186巷2號,121.421825,25.021171
157,豐年市民活動中心,新北市,新莊區,泰豐里,新北市新莊區豐年街57號之5,,是,是,是,是,是,,,,瓊林里、全安里、營盤里、丹鳳里、雙鳳里、和鳳里、富國里、國泰里、豐年里、福營里、龍鳳里、裕民里、祥鳳里、富民里、泰豐里、龍福里,100.0,400.0,邱雋弘,958496393.0,,,,65000新莊區泰豐里新北市新莊區豐年街57號之5,121.446657,25.029873
158,瓊泰活動中心,新北市,新莊區,瓊林里,新北市新莊區瓊泰路85號,,否,是,是,是,是,,,,海山里、瓊林里、營盤里、丹鳳里、雙鳳里、和鳳里、富國里、國泰里、豐年里、福營里、龍鳳里、裕民里,100.0,400.0,邱雋弘,958496393.0,,,,65000新莊區瓊林里新北市新莊區瓊泰路85號,121.44314,25.029352
159,牡丹心市民活動中心,新北市,新莊區,雙鳯里,新北市新莊區雙鳳路75號5樓,,是,否,是,是,是,,,,瓊林里、營盤里、丹鳳里、雙鳳里、合鳳里、富國里、國泰里、豐年里、福營里、龍鳳里、裕民里、祥鳳里、富民里、泰豐里、龍福里,300.0,1200.0,邱雋弘,958496393.0,,,,65000新莊區雙鳯里新北市新莊區雙鳳路75號5樓,121.414928,25.027664
160,全安市民活動中心,新北市,新莊區,全安里,新北市新莊區新莊路527號,,是,是,是,是,是,,,,海山里、全安里、榮和里、興漢里、文德里、文明里、文聖里、文衡里、全泰里、泰豐里、忠孝里,200.0,800.0,邱雋弘,958496393.0,,,,65000新莊區全安里新北市新莊區新莊路527號,121.447891,25.033328
161,新莊區公所,新北市,新莊區,興漢里,新北市新莊區中正路176號,,是,否,是,是,是,,,,海山里.全安里.榮和里.興漢里.文德里.文明里.文聖里.文衡里.全泰里.忠孝里,200.0,800.0,顏稟倫,937893406.0,,,,65000新莊區興漢里新北市新莊區中正路176號,121.450558,25.035834
162,福營行政大樓,新北市,新莊區,四維里,新北市新莊區四維路9號,,是,是,是,是,是,,,,瓊林里、營盤里、丹鳳里、雙鳳里、合鳳里、富國里、國泰里、豐年里、福營里、龍鳳里、裕民里、祥鳳里、富民里、泰豐里、龍福里,200.0,800.0,顏稟倫,937893406.0,,,,65000新莊區四維里新北市新莊區四維路9號,121.423752,25.024296
163,裕民行政大樓,新北市,新莊區,裕民里,新北市新莊區裕民街136號,,是,是,是,是,是,,,,瓊林里、營盤里、丹鳳里、雙鳳里、和鳳里、富國里、國泰里、四維里、豐年里、福營里、龍鳳里、裕民里、祥鳳里、富民里、泰豐里、龍福里,300.0,1200.0,顏稟倫,937893406.0,,,,65000新莊區裕民里新北市新莊區裕民街136號,121.41778,25.021885
164,輔仁大學,新北市,新莊區,營盤里,新北市新莊區中正路510號,,否,是,是,是,否,,,,營盤里、福營里、建安里,1544.0,7124.0,張耘齊,972321116.0,,,,65000新莊區營盤里新北市新莊區中正路510號,121.435112,25.032953
165,新莊高中,新北市,新莊區,立基里,新北市新莊區中平路135號,,是,是,是,是,否,,,,立基里、中和里、中泰里、立志里、中信里、中宏里、中全里、立泰里、中平里、立廷里,933.0,5207.29,吳立夫主任,921203172.0,,,,65000新莊區立基里新北市新莊區中平路135號,121.444658,25.048184
166,丹鳳高中,新北市,新莊區,龍鳳里,新北市新莊區龍安路72號,,是,否,是,是,否,,,,民有里、光正里、光明里、成德里、龍安里、龍鳯里、民安里、裕民里、丹鳯里、雙鳳里、龍福里、祥鳳里,992.0,6405.0,陳政佑主任,920033711.0,,,,65000新莊區龍鳳里新北市新莊區龍安路72號,121.416169,25.021199
167,新莊國中,新北市,新莊區,榮和里,新北市新莊區中正路211號,,是,是,是,是,否,,,,榮和里、興漢里、全安里、文衡里、文德里、立人里、文聖里、泰豐里,1150.0,7600.0,戴岑熹主任,919611847.0,,,,65000新莊區榮和里新北市新莊區中正路211號,121.452488,25.035939
168,新泰國中,新北市,新莊區,立泰里,新北市新莊區新泰路359號,,是,是,是,是,否,,,,中華里、中和里、中誠里、中宏里、中全里、中泰里、立志里、立基里、立廷里、立言里、立泰里、思賢里、忠孝里、立德里、立功里、自立里、自強里,466.0,2552.0,許智凱主任,918064112.0,,,,65000新莊區立泰里新北市新莊區新泰路359號,121.444378,25.042595
169,福營國中,新北市,新莊區,萬安里,新北市新莊區富國路105號,,否,是,是,是,否,,,,富民里、民安里、民全里、萬安里、後港里、西盛里、富國里、民本里、四維里、後德里、建安里、建福里、福營里、營盤里、南港里、瓊林里、成德里、龍安里、民有里、八德里,319.0,2135.0,洪福明主任,918399264.0,,,,65000新莊區萬安里新北市新莊區富國路105號,121.422511,25.025324
170,頭前國中,新北市,新莊區,和平里,新北市新莊區思源路485號,,否,是,是,是,否,,,,思源里、幸福里、昌平里、昌信里、昌隆里、仁愛里、仁義里、信義里、和平里、昌明里、昌信里、自信里、福基里、福興里、頭前里、化成里,339.0,1956.0,何建中主任,920128873.0,,,,65000新莊區和平里新北市新莊區思源路485號,121.459484,25.055184
171,中平國中,新北市,新莊區,立廷里,新北市新莊區中平路385號,,是,是,是,是,否,,,,立廷里、中港里、中原里、中信里、中平里、中隆里,269.0,1828.0,陳皇志主任,935490241.0,,,,65000新莊區立廷里新北市新莊區中平路385號,121.444531,25.053756
172,新莊國小,新北市,新莊區,立人里,新北市新莊區中正路86號,,是,是,是,是,否,,,,立人里、思源里、文衡里、文聖里、興漢里、榮和里、文德里、文明里、恆安里、思賢里、立德里、中美里,1029.0,6991.6,余素苓主任,939525120.0,,,,65000新莊區立人里新北市新莊區中正路86號,121.456423,25.036968
173,民安國小,新北市,新莊區,民全里,新北市新莊區民安路261號,,否,是,是,是,否,,,,民安里、瓊林里、四維里、成德里、後港里、八德里、西盛里、民有里、後德里、建福里、民全里、光華里、光明里、光正里、光和里、建安里、民本里,1203.0,8752.0,劉美玲主任,937579028.0,,,,65000新莊區民全里新北市新莊區民安路261號,121.427798,25.021633
174,國泰國小,新北市,新莊區,營盤里,新北市新莊區中正路386號,,否,是,是,否,否,,,,忠孝里、國泰里、海山里、福營里、營盤里,577.0,4339.0,彭成君主任,922695002.0,,,,65000新莊區營盤里新北市新莊區中正路386號,121.441712,25.034171
175,頭前國小,新北市,新莊區,頭前里,新北市新莊區化成路231號,,是,是,是,是,否,,,,化成里、頭前里、福基里,315.0,1762.0,黃琬婷主任,988185088.0,,,,65000新莊區頭前里新北市新莊區化成路231號,121.466129,25.052926
176,中港國小,新北市,新莊區,立志里,新北市新莊區中港一街142號,,是,是,是,是,否,,,,中泰里、立志里、立基里、立廷里、中宏里、中全里、中和里、中港里、立功里、中華里、立泰里、中誠里,564.0,2610.0,王文政主任,978167272.0,,,,65000新莊區立志里新北市新莊區中港一街142號,121.447166,25.04507
177,思賢國小,新北市,新莊區,自立里,新北市新莊區自立街229號,,否,是,是,是,否,,,,自立里、仁愛里、思賢里、自強里、仁義里、中美里、自信里、思源里、中泰里、中誠里、信義里、化成里、幸福里、中華里,285.0,1723.0,薛國致主任,922129333.0,,,,65000新莊區自立里新北市新莊區自立街229號,121.456556,25.045562
178,丹鳳國小,新北市,新莊區,雙鳳里,新北市新莊區新北大道七段437號,,是,否,是,是,否,,,,雙鳳里、富國里、丹鳯里、合鳳里、龍鳳里、龍福里、祥鳳里,390.0,2102.0,吳駿勇主任 ,985846654.0,,,,65000新莊區雙鳳里新北市新莊區新北大道七段437號,121.413815,25.024184
179,豐年國小,新北市,新莊區,國泰里,新北市新莊區瓊泰路116號,,是,是,是,是,否,,,,國泰里、海山里、豐年里、泰豐里、瓊林里、全安里,678.0,4916.9245283019,蔡蓓詩主任,932345248.0,,,,65000新莊區國泰里新北市新莊區瓊泰路116號,121.443332,25.030931
180,光華國小,新北市,新莊區,光明里,新北市新莊區龍安路452號,,否,是,是,是,否,,,,光華里、光明里、民安里、民本里、瓊林里、光和里、光正里、光榮里、成德里、民全里、民有里、西盛里,1015.0,5725.0,黃勺珍主任,963061522.0,,,,65000新莊區光明里新北市新莊區龍安路452號,121.425204,25.017902
181,榮富國小,新北市,新莊區,中平里,新北市新莊區中和街193號,,是,是,是,是,否,,,,中信里、中平里、中港里、中隆里、中原里、中宏里、中全里,484.0,3136.0,何姿香主任,931864545.0,,,,65000新莊區中平里新北市新莊區中和街193號,121.447398,25.051432
182,新泰國小,新北市,新莊區,忠孝里,新北市新莊區公園一路91號,,是,是,是,是,否,,,,忠孝里、立言里、立德里、立功里、營盤里、全泰里,1797.0,9967.0,陳文斌主任,932921284.0,,,,65000新莊區忠孝里新北市新莊區公園一路91號,121.443787,25.037841
183,裕民國小,新北市,新莊區,裕民里,新北市新莊區裕民街123號,,是,否,是,是,否,,,,裕民里、南港里、合鳳里、龍鳳里、萬安里、龍安里、龍福里,632.0,3731.0,蕭琳臻主任,952703133.0,,,,65000新莊區裕民里新北市新莊區裕民街123號,121.417818,25.021278
184,昌隆國小,新北市,新莊區,昌隆里,新北市新莊區昌隆街63號,,否,是,是,是,否,,,,幸福里、信義里、和平里、中誠里、昌明里、昌信里、中港里、仁愛里、仁義里、自強里、自立里、自信里、昌隆里,520.0,3934.0,康志偉主任,921884783.0,,,,65000新莊區昌隆里新北市新莊區昌隆街63號,121.45505,25.051019
185,興化國小,新北市,新莊區,福興里,新北市新莊區五工二路50巷2號,,是,是,是,是,否,,,,福基里、福興里,599.0,4435.0,吳喜信主任,931061073.0,,,,65000新莊區福興里新北市新莊區五工二路50巷2號,121.461637,25.065916
186,中信國小,新北市,新莊區,中原里,新北市新莊區中信街168號,,否,是,是,是,否,,,,中原里、中信里、中榮里、中隆里、昌平里、中平里,1084.0,7907.0,陳中淋主任,939878607.0,,,,65000新莊區中原里新北市新莊區中信街168號,121.447991,25.056275
187,昌平國小,新北市,新莊區,昌平里,新北市新莊區昌平街200號,,是,是,是,是,否,,,,昌平里、昌信里、昌明里、福基里、和平里、中隆里、福興里、昌隆里,535.0,3740.0,馮嬿霓主任,927680417.0,,,,65000新莊區昌平里新北市新莊區昌平街200號,121.455581,25.056404
188,恆毅高級中學,新北市,新莊區,立人里,新北市新莊區中正路108號,,是,是,是,是,否,,,,恆安里、立人里、文德里.榮和里.中美里.興漢里.文明里,648.0,3493.0,涂菁美主任,975398386.0,,,,65000新莊區立人里新北市新莊區中正路108號,121.417351,25.022665
189,新莊體育場(防災公園),新北市,新莊區,立德里,新北市新莊區公園路11號,,是,是,是,是,是,,,,立德里、中美里、立人里、榮和里、興漢里、文聖里、全泰里、立言里、立泰里、立功里、中和里、中華里,8450.0,67600.0,鄒宜辰,,,,,65000新莊區立德里新北市新莊區公園路11號,121.448185,25.039698
190,頭前運動公園(防災公園),新北市,新莊區,頭前里,新北市新莊區頭前路、頭前街口,,是,是,是,是,是,,,,頭前里、化成里、信義里、和平里、福基里,133.0,1069.0,吳金純,920672079.0,,,,65000新莊區頭前里新北市新莊區頭前路、頭前街口,121.462074,25.05252
191,清和市民 活動中心,新北市,土城區,清和里,新北市土城區青雲路368號1樓,,是,是,是,否,否,,,,清和里、清化里,30.0,120.0,劉友坤 ,922824243.0,,,,65000土城區清和里新北市土城區青雲路368號1樓,121.458661,24.973802
192,清化市民 活動中心,新北市,土城區,清和里,新北市土城區青雲路368號4樓,,是,否,是,否,否,,,,清化里、清和里,30.0,120.0,劉友坤 ,922824243.0,,,,65000土城區清和里新北市土城區青雲路368號4樓,121.458661,24.973802
193,青雲、柑林市民活動中心,新北市,土城區,青雲里,新北市土城區清水路141巷18號B1,,否,否,是,否,否,,,,青雲里、柑林里,50.0,200.0,劉友坤 ,922824243.0,,,,65000土城區青雲里新北市土城區清水路141巷18號B1,121.458501,24.98237
194,青山市民 活動中心,新北市,土城區,青山里,新北市土城區明德路1段74之1號1樓,,是,是,是,否,否,,,,青山里、清水里、清溪里、永富里,18.0,72.0,劉友坤 ,922824243.0,,,,65000土城區青山里新北市土城區明德路1段74之1號1樓,121.464836,24.985918
195,永富市民 活動中心,新北市,土城區,青山里,新北市土城區明德路1段74之1號2樓,,是,否,是,否,否,,,,清水里、永富里、青山里,25.0,100.0,劉友坤 ,922824243.0,,,,65000土城區青山里新北市土城區明德路1段74之1號2樓,121.464836,24.985918
196,廷寮市民 活動中心,新北市,土城區,廷寮里,新北市土城區永豐路240之1號,,是,是,是,是,是,,,,廷寮里、永豐里、金城里,80.0,320.0,劉友坤 ,922824243.0,,,,65000土城區廷寮里新北市土城區永豐路240之1號,121.467199,24.980803
197,清水高中,新北市,土城區,永富里,新北市土城區明德路1段72號,,是,是,是,是,否,,,,永富里、永豐里、金城里、清水里、清和里、清化里、清溪里、峯廷里、平和里、廷寮里、延壽里、安和里、延吉里、延和里、青山里、延祿里,2041.0,9967.0,總務主任李均凱,920618469.0,,,,65000土城區永富里新北市土城區明德路1段72號,121.464836,24.985918
198,中正國中,新北市,土城區,青雲里,新北市土城區金城路2段247號,,是,是,是,是,否,,,,中正里、柑林里、青雲里,671.0,5023.0,事務組長宋子龍,958102183.0,,,,65000土城區青雲里新北市土城區金城路2段247號,121.464359,24.985777
199,安和國小,新北市,土城區,安和里,新北市土城區延和路23號,,是,是,是,是,否,,,,安和里、延和里、延壽里、平和里、延祿里、峯廷里、延吉里,2293.0,9867.0,總務主任陳文慶,912833850.0,,,,65000土城區安和里新北市土城區延和路23號,121.464774,24.988807
200,清水國小,新北市,土城區,清溪里,新北市土城區金城路2段356號,,是,是,是,是,否,,,,清溪里、柑林里、永豐里、峯廷里、平和里、廷寮里、延壽里、安和里、青雲里、延吉里、延和里、金城里、延祿里、,1010.0,7184.0,事務組長蔣易珊,912853283.0,,,,65000土城區清溪里新北市土城區金城路2段356號,121.464359,24.985777
201,土城區公所,新北市,土城區,埤塘里,新北市土城區金城路1段101號,,是,否,是,是,是,,,,埤塘里、土城里、員林里、員仁里、長風里、員福里,162.0,1100.0,劉友坤 ,922824243.0,,,,65000土城區埤塘里新北市土城區金城路1段101號,121.464166,24.986135
202,廣福市民 活動中心,新北市,土城區,廣福里,新北市土城區學府路1段99巷底1樓,,是,是,是,否,否,,,,廣福里、埤林里瑞興里、復興里學成里、廣興里,50.0,200.0,劉友坤 ,922824243.0,,,,65000土城區廣福里新北市土城區學府路1段99巷底1樓,121.449518,24.982162
203,廣興市民 活動中心,新北市,土城區,廣福里,新北市土城區學府路1段99巷底2樓,,是,否,是,否,否,,,,廣興里、廣福里,50.0,200.0,劉友坤 ,922824243.0,,,,65000土城區廣福里新北市土城區學府路1段99巷底2樓,121.449518,24.982162
204,員林市民 活動中心,新北市,土城區,員林里,新北市土城區員林街15號1樓,,是,是,是,否,否,,,,員林里、員福里埤塘里、土城里長風里、員信里,77.0,480.0,劉友坤 ,922824243.0,,,,65000土城區員林里新北市土城區員林街15號1樓,121.442984,24.978282
205,新北高工,新北市,土城區,學府里,新北市土城區學府路1段241號,,是,是,是,是,否,,,,學府里、明德里、學士里、樂利里、日新里、日和里、貨饒里、裕生里、中正里,2580.0,16528.94,總務主任林聰明,905879206.0,,,,65000土城區學府里新北市土城區學府路1段241號,121.449518,24.982162
206,土城國小,新北市,土城區,埤塘里,新北市土城區興城路17號,,否,是,是,是,否,,,,員仁里、土城里長風里、員信里埤塘里、大安里,963.0,6552.0,總務主任陳詩裕,975787253.0,,,,65000土城區埤塘里新北市土城區興城路17號,121.441935,24.972383
207,廣福國小,新北市,土城區,廣福里,新北市土城區學府路1段127號,,是,是,是,是,否,,,,瑞興里、復興里埤林里、學成里日新里、貨饒里樂利里、廣福里學府里、裕生里中正里、學士里明德里、廣興里,533.0,3762.0,總務主任簡志明,928846391.0,,,,65000土城區廣福里新北市土城區學府路1段127號,121.449518,24.982162
208,樂利國小,新北市,土城區,日新里,新北市土城區裕生路65號,,是,是,是,是,否,,,,日新里、裕生里貨饒里、日和里埤林里、瑞興里樂利里、學府里復興里、學成里學士里、明德里,505.0,3275.0,總務主任陳良仁,931094392.0,,,,65000土城區日新里新北市土城區裕生路65號,121.447559,24.985602
209,裕德高中,新北市,土城區,日和里,新北市土城區擺接堡路1號,,否,是,是,是,否,,,,日和里、員林里員福里,984.0,5362.0,總務主任簡嘉良,972720798.0,,,,65000土城區日和里新北市土城區擺接堡路1號,121.439585,24.982977
210,福瑞斯特高中,新北市,土城區,員仁里,新北市土城區城林路2號,,否,是,是,是,否,,,,員仁里、員信里,1404.0,9370.0,總務主任鄧再智,932122113.0,,,,65000土城區員仁里新北市土城區城林路2號,121.437438,24.975626
211,永寧市民 活動中心,新北市,土城區,永寧里,新北市土城區永寧路32巷10弄10號,,是,否,是,是,是,,,,永寧里、大安里,30.0,120.0,劉友坤 ,922824243.0,,,,65000土城區永寧里新北市土城區永寧路32巷10弄10號,121.429188,24.961655
212,祖田市民 活動中心,新北市,土城區,祖田里,新北市土城區中央路4段283之1號2樓,,否,是,是,是,否,,,,祖田里、頂新里、頂福里,50.0,200.0,劉友坤 ,922824243.0,,,,65000土城區祖田里新北市土城區中央路4段283之1號2樓,121.443011,24.980879
213,沛陂市民 活動中心,新北市,土城區,沛陂里,新北市土城區三民路23巷8弄9號,,是,是,是,否,否,,,,沛陂里、永寧里、頂埔里,50.0,200.0,劉友坤 ,922824243.0,,,,65000土城區沛陂里新北市土城區三民路23巷8弄9號,121.419376,24.963598
214,頂埔市民 活動中心,新北市,土城區,頂埔里,新北市土城區中央路4段55之12號,,是,是,是,是,是,,,,頂埔里、沛陂里、頂福里、頂新里、祖田里,60.0,240.0,劉友坤 ,922824243.0,,,,65000土城區頂埔里新北市土城區中央路4段55之12號,121.443011,24.980879
215,土城國中,新北市,土城區,永寧里,新北市土城區永寧路18號,,是,是,是,是,否,,,,大安里、永寧里、沛陂里,1346.0,8586.369999999999,總務主任劉明志,928558311.0,,,,65000土城區永寧里新北市土城區永寧路18號,121.430171,24.962415
216,頂埔國小,新北市,土城區,頂福里,新北市土城區中央路4段205號,,是,是,是,是,否,,,,頂福里、頂埔里、頂新里、祖田里,412.0,2508.73,總務主任李沂婕,912545252.0,,,,65000土城區頂福里新北市土城區中央路4段205號,121.443011,24.980879
